eventId|eventName|startDate|endDate|parentId|researchValue|description
a1b2c3d4-e5f6-7890-1234-567890abcdef|Founding of ArchaeoData|2023-01-01T10:00:00Z|2023-01-01T11:30:00Z|NULL|8|Initial establishment of the company, focusing on data salvage.
c8d7e6f5-a4b3-2109-8765-4321fedcba98|Pilot Project Alpha|2023-01-05T09:00:00Z|2023-01-05T17:00:00Z|a1b2c3d4-e5f6-7890-1234-567890abcdef|9|First major data reconstruction pilot, spanning a full workday.
6a7b8c9d-0e1f-2a3b-4c5d-6e7f8a9b0c1d|Team Brainstorm Session|2023-01-06T10:00:00Z|2023-01-06T11:00:00Z|NULL|6|A session for new ideas.
01234567-89ab-cdef-0123-456789abcdef|System Upgrade|2023-01-06T10:30:00Z|2023-01-06T12:00:00Z|NULL|4|Upgrading server infrastructure. (Overlaps with Brainstorm)
22334455-6677-8899-aabb-ccddeeff0011|Security Audit|2023-01-06T11:30:00Z|2023-01-06T13:00:00Z|NULL|8|Review of system security protocols. (Overlaps with System Upgrade)
malformed-id-1|Broken Event|2023-01-02T09:00:00Z|2023-01-02T10:00:00Z|NULL|5|Missing one field.
invalid-value|Negative Research Value|2023-04-01T09:00:00Z|2023-04-01T10:00:00Z|NULL|-2|Research value is negative.
f7e6d5c4-b3a2-1098-7654-3210fedcba98|Phase 1 Research|2023-01-01T10:30:00Z|2023-01-01T11:00:00Z|a1b2c3d4-e5f6-7890-1234-567890abcdef|6|Early research on data fragmentation techniques.
33445566-7788-99aa-bbcc-ddeeff001122|Post-Audit Meeting|2023-01-06T13:30:00Z|2023-01-06T14:00:00Z|22334455-6677-8899-aabb-ccddeeff0011|5|Discussing audit findings. (29 min gap with Security Audit)
10101010-2020-3030-4040-505050505050|Analysis Start|2023-03-01T09:00:00Z|2023-03-01T10:00:00Z|NULL|7|Initiating data analysis.
b5c6d7e8-f9a0-b1c2-d3e4-f5a6b7c8d9e0|Model Training|2023-02-02T17:00:00Z|2023-02-03T09:00:00Z|a4b5c6d7-e8f9-a0b1-c2d3-e4f5a6b7c8d9|10|Training machine learning models on cleaned data. (Longest single event in this path)
21212121-3232-4343-5454-656565656565|Analysis Start|2023-03-05T09:00:00Z|2023-03-05T10:00:00Z|NULL|7|Initiating data analysis (repeat pattern).
c6d7e8f9-a0b1-c2d3-e4f5-a6b7c8d9e0f1|Deployment Planning|2023-02-03T09:00:00Z|2023-02-03T12:00:00Z|b5c6d7e8-f9a0-b1c2-d3e4-f5a6b7c8d9e0|8|Planning for the system's live deployment.
